Key,English,Traditional Chinese,Thai,Vietnamese,Indonesia,Brazilian Portuguese,Spanish,Russian,French,German,Turkish,Hindi,Romanian,Arabic,Burmese,Urdu,Bengali
EVENT_8,"In this round, everyone change to FPP",這一局大家都換FPP,รอบนี้ทุกคนเปลี่ยนเป็น FPP,"Vòng này, mọi người đổi sang góc nhìn thứ nhất","Di babak ini, semua orang beralih ke FPP","Nesta rodada, todos mudam para FPP","En esta ronda, todos cambian a PPP",В этом раунде все переходят на FPP.,"Dans ce tour, tout le monde passe au FPP",In dieser Runde wechseln alle zu FPP,Bu turda herkes FPP'ye geçiyor,"इस दौर में, हर कोई एफपीपी में बदल जाता है","În această rundă, toată lumea trece la FPP",في هذه الجولة، يتغير الجميع إلى FPP,ဤအဝိုင်းတွင် လူတိုင်း FPP သို့ပြောင်းသည်။,اس دور میں، ہر کوئی FPP میں تبدیل ہو جاتا ہے۔,"এই রাউন্ডে, সবাই এফপিপিতে পরিবর্তন করে"
EVENT_9,"In this round, the night comes",這一輪，夜幕降臨,รอบนี้ค่ำๆมาครับ,"Vòng này, màn đêm buông xuống","Di babak ini, malam tiba",Nessa rodada a noite chega,"En esta ronda, cae la noche",В этом раунде наступает ночь,"Dans ce tour, la nuit vient",In dieser Runde kommt die Nacht,Bu turda gece geliyor,इसी चक्कर में रात हो जाती है,"În această rundă, vine noaptea",في هذه الجولة يأتي الليل,ဤအဝိုင်းတွင် ညဘက်ရောက်သည်။,اس چکر میں رات آتی ہے۔,এই চক্রে রাত আসে
RED_WIN,RED TEAM WIN,紅隊獲勝,ทีมสีแดงชนะ,ĐỘI ĐỎ THẮNG,TIM MERAH MENANG,VITÓRIA DA EQUIPE VERMELHA,VICTORIA DEL EQUIPO ROJO,Красная команда выигрывает,Gagner l'équipe rouge,Roter Teamgewinn,Kırmızı Takım Kazandı,रेड टीम जीत,Câștigă echipa roșie,الفوز الفريق الأحمر,အနီရောင်အသင်းအနိုင်ရရှိ,ریڈ ٹیم جیت,রেড টিম জয়
BLUE_WIN,BLUE TEAM WIN,藍隊獲勝,ทีมสีน้ำเงินชนะ,ĐỘI LAM THẮNG,TIM BLUE WIN,VITÓRIA DA EQUIPE AZUL,VICTORIA DEL EQUIPO AZUL,Синяя команда выигрывает,Victoire de l'équipe bleue,Blue Team Win,Mavi Takım Kazanması,ब्लू टीम जीत,Câștigă echipa albastră,فوز الفريق الأزرق,အပြာရောင်အသင်းအနိုင်ရ,بلیو ٹیم جیت,নীল দল জয়
PINK_WIN,PINK TEAM WIN,粉紅色的團隊獲勝,ทีมสีชมพูชนะ,ĐỘI HỒNG THẮNG,TIM MERAH MUDA MENANG,VITÓRIA DA EQUIPE ROSA,VICTORIA DEL EQUIPO ROSA,Розовая команда победа,Victoire de l'équipe rose,Pink -Team -Gewinn,Pembe Takım Kazanması,गुलाबी टीम जीत,Echipa roz câștigă,فوز الفريق الوردي,ပန်းရောင်အသင်းအနိုင်ရ,گلابی ٹیم جیت,গোলাপী দল জয়
GREEN_WIN,GREEN TEAM WIN,綠色團隊獲勝,ทีมสีเขียวชนะ,ĐỘI LỤC THẮNG,TIM HIJAU MENANG,VITÓRIA DA EQUIPE VERDE,VICTORIA DEL EQUIPO VERDE,Зеленая команда выигрывает,Victoire de l'équipe verte,Green Team Win,Yeşil Takım Kazandı,ग्रीन टीम जीत,Echipa Verde câștigă,فوز الفريق الأخضر,အစိမ်းရောင်အသင်းအနိုင်ရ,گرین ٹیم جیت,সবুজ দল জয়
YELLOW_WIN,YELLOW TEAM WIN,黃隊獲勝,ทีมสีเหลืองชนะ,ĐỘI VÀNG THẮNG,TIM KUNING MENANG,VITÓRIA DA EQUIPE AMARELA,VICTORIA DEL EQUIPO AMARILLO,ПОБЕДА ЖЕЛТОЙ КОМАНДЫ,VICTOIRE DE L'ÉQUIPE JAUNE,GELBES TEAM GEWINNT,SARI TAKIM KAZANDI,पीली टीम जीत गई,CÂȘTIGĂ ECHIPA GALBENĂ,فوز الفريق الأصفر,အဝါရောင်အသင်းအနိုင်ရ,پیلی ٹیم جیت گئی۔,হলুদ দল জিতেছে
BORDER_1,"Border is about to close, water is about to rise!",邊境即將關閉，水位即將上升！,ชายแดนกำลังจะปิด น้ำกำลังจะขึ้น!,"Vòng bo chuẩn bị thu, nước chuẩn bị dâng!","Perbatasan akan ditutup, air akan naik!","A fronteira está prestes a fechar, a água está prestes a subir!",¡El borde está a punto de cerrarse y el agua aumentará!,"Граница вот-вот закроется, вода вот-вот поднимется!","La frontière est sur le point de se fermer, l’eau est sur le point de monter !","Die Grenze wird bald geschlossen, das Wasser steigt!","Sınır kapanmak üzere, sular yükselmek üzere!","सीमा बंद होने वाली है, पानी बढ़ने वाला है!","Granița este pe cale să se închidă, apa este pe cale să urce!",الحدود على وشك الإغلاق، والمياه على وشك الارتفاع!,နယ်စပ်တွေပိတ်တော့ ရေတက်လာတော့မယ်။,بارڈر بند ہونے کو ہے، پانی بڑھنے والا ہے!,"বর্ডার বন্ধ, পানি বাড়তে চলেছে!"
BORDER_2,Border is about to close!,邊界即將關閉！,ชายแดนกำลังจะปิด!,Vòng bo chuẩn bị thu!,Perbatasan akan segera ditutup!,A fronteira está prestes a fechar!,¡El borde está a punto de cerrarse!,Граница собирается закрыть!,La frontière est sur le point de fermer!,Grenze ist kurz vor dem Schließen!,Sınır kapatmak üzere!,सीमा बंद होने वाली है!,Granița este pe cale să închidă!,الحدود على وشك الإغلاق!,နယ်စပ်ကိုပိတ်တော့မည်။,بارڈر بند ہونے ہی والا ہے!,সীমানা বন্ধ হতে চলেছে!
VOTE,Vote your weapons,投票給你的武器,โหวตอาวุธของคุณ,Chọn vũ khí của bạn,Pilih senjatamu,Vote suas armas,Vota por tus armas,Проголосовать за свое оружие,Votez vos armes,Stimmen Sie Ihre Waffen ab,Silahlarınızı Oy Ver,अपने हथियार वोट करें,Votează -ți armele,التصويت على أسلحتك,သင့်ရဲ့လက်နက်များကိုမဲပေးပါ,اپنے ہتھیاروں کو ووٹ دیں,আপনার অস্ত্র ভোট দিন
VOTE_RESULT,Weapon result,武器結果,ผลอาวุธ,Kết quả lựa chọn,Hasil senjata,Resultado da arma,Resultado del arma,Результат оружия,Résultat de l'arme,Waffenergebnis,Silah Sonucu,हथियार परिणाम,Rezultatul armei,نتيجة سلاح,လက်နက်ရလဒ်,ہتھیاروں کا نتیجہ,অস্ত্র ফলাফল
ROUND_START,ROUND START,圓點開始,รอบ,Vòng đấu bắt đầu,Mulai putaran,Início redondo,INICIÓ LA RONDA,Круглый старт,Démarrage,Runder Start,Yuvarlak başlangıç,दौर की शुरुआत,Pornire rotundă,بداية جولة,Round Start,گول اسٹارٹ,গোল শুরু
BLUE,BLUE,藍色的,สีฟ้า,LAM,BIRU,AZUL,AZUL,СИНИЙ,BLEU,BLAU,MAVİ,नीला,ALBASTRU,أزرق,ပြာသော,نیلے رنگ,নীল
RED,RED,紅色的,สีแดง,ĐỎ,MERAH,VERMELHO,ROJO,КРАСНЫЙ,ROUGE,ROT,KIRMIZI,लाल,ROȘU,أحمر,အနီေရာင်,سرخ,লাল
PINK,PINK,粉色的,สีชมพู,HỒNG,MERAH JAMBU,ROSA,ROSA,РОЗОВЫЙ,ROSE,ROSA,PEMBE,गुलाबी,ROZ,لون القرنفل,ပန်းရောင်,گلابی,গোলাপী
GREEN,GREEN,綠色的,สีเขียว,LỤC,HIJAU,VERDE,VERDE,ЗЕЛЕНЫЙ,VERT,GRÜN,YEŞİL,हरा,VERDE,أخضر,စိမ်းလန်းသော,سبز,সবুজ
YELLOW,YELLOW,黃色的,สีเหลือง,VÀNG,KUNING,AMARELO,AMARILLO,ЖЕЛТЫЙ,JAUNE,GELB,SARI,पीला,GALBEN,أصفر,အဝါရောင်,پیلا,হলুদ
WATER,WATER IS RISING!,水位上升！,น้ำกำลังขึ้น!,MỰC NƯỚC ĐANG DÂNG!,AIR MENINGKAT!,A ÁGUA ESTÁ SUBINDO!,¡EL AGUA ESTÁ SUBIENDO!,ВОДА ПОДНИМАЕТСЯ!,L'EAU MONTE !,WASSER STEIGT!,SU YÜKSELİYOR!,पानी बढ़ रहा है!,APA SE RĂRESCĂ!,الماء يرتفع!,ရေတွေတက်လာတယ်။,پانی بڑھ رہا ہے!,জল বাড়ছে!
ROUND_INFO,"Eliminate all enemies! Watch out, the water is rising!",消滅所有敵人！小心，水位正在上升！,กำจัดศัตรูให้หมด! ระวังน้ำจะขึ้น!,"Tiêu Diệt tất cả kẻ dịch! Cẩn thận, mực nước đang dâng","Hilangkan semua musuh! Awas, airnya naik!","Elimine todos os inimigos! Cuidado, a água está subindo!","¡Elimina a todos los enemigos! ¡Cuidado, el agua está subiendo!","Уничтожьте всех врагов! Осторожно, вода поднимается!","Éliminez tous les ennemis ! Attention, l'eau monte !","Eliminiere alle Feinde! Achtung, das Wasser steigt!",Tüm düşmanları ortadan kaldırın! Dikkat sular yükseliyor!,"सभी शत्रुओं का सफाया करें! सावधान रहें, पानी बढ़ रहा है!","Eliminați toți inamicii! Atenție, apa crește!",القضاء على جميع الأعداء! احذروا، الماء يرتفع!,ရန်သူအားလုံးကို ဖယ်ရှားလိုက်ပါ။ ရေတက်လာတာကို သတိထားပါ။,تمام دشمنوں کو ختم کرو! دیکھو، پانی بڑھ رہا ہے!,"সমস্ত শত্রু নির্মূল! সাবধান, জল বাড়ছে!"
ROUND,ROUND {0}/{1},第 {0}/{1} 輪,รอบ {0}/{1},VÒNG {0}/{1},PUTARAN {0}/{1},RODADA {0}/{1},RONDA {0}/{1},РАУНД {0}/{1},TOUR {0}/{1},RUNDE {0}/{1},YUVARLAK {0}/{1},राउंड {0}/{1},RUNDA {0}/{1},جولة {0}/{1},အဝိုင်း {0}/{1},راؤنڈ {0}/{1},রাউন্ড {0}/{1}
